form,form_type,form_name,service_center,center_address,ZIP,time_min,time_max,State,Congressional_district,Rep,Party
I-90,,Application to replace permanent resident card,Potomac,"2200 Crystal Dr, Arlington, VA 22202",22202,2,13,VA,8,"Beyer, Don",D
I-102,,Application for replacement/initial nonimmigrant arrival,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,3.5,7.5,CA,48,"Rouda, Harley",D
I-102,,Application for replacement/initial nonimmigrant arrival,National Benefits Center,"850 NW Chipman Rd #5000, Lee's Summit, MO 64063",64063,3.5,7.5,MO,5,"Cleaver, Emanuel",D
I-102,,Application for replacement/initial nonimmigrant arrival,Nebraska,"850 S St, Lincoln, NE 68508",68508,3.5,7.5,NE,1,"Fortenberry, Jeff",R
I-102,,Application for replacement/initial nonimmigrant arrival,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,3.5,7.5,TX,30,"Johnson, Eddie Bernice",D
I-102,,Application for replacement/initial nonimmigrant arrival,Vermont,"75 Lower Welden St, St Albans City, VT 05479",05479,3.5,7.5,VT,At-Large,"Welch, Peter",D
I-129,Blanket L,Petition for a Nonimmigrant Worker,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,6.5,8.5,CA,48,"Rouda, Harley",D
I-129,E - Treaty traders and investors,Petition for a Nonimmigrant Worker,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,0.75,4,CA,48,"Rouda, Harley",D
I-129,H-1B - Specialty occupation - Visa to be issued abroad,Petition for a Nonimmigrant Worker,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,9.5,12.5,CA,48,"Rouda, Harley",D
I-129,H-1B - Specialty occupation - Change of status in the US,Petition for a Nonimmigrant Worker,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,6.5,8.5,CA,48,"Rouda, Harley",D
I-129,H-1B - Specialty occupation - Extension of stay in the US,Petition for a Nonimmigrant Worker,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,6.5,8.5,CA,48,"Rouda, Harley",D
I-129,H-1B - Specialty occupation - Extension of stay in the US,Petition for a Nonimmigrant Worker,Nebraska,"850 S St, Lincoln, NE 68508",68508,3.5,5.5,NE,1,"Fortenberry, Jeff",R
I-129,L - intracompany transfers,Petition for a Nonimmigrant Worker,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,3,5,TX,30,"Johnson, Eddie Bernice",D
I-485,,Application to Register Permanent Residence or Adjust Status,Charlotte Amalie VI,"8000 Nisky Center, Suite 1A Charlottes Amalie St. Thomas USVI VI, 00802, U.S. Virgin Islands",00802,10.5,22,,,,
N-400,,Application for Naturalization,Charlotte Amalie VI,"8000 Nisky Center, Suite 1A Charlottes Amalie St. Thomas USVI VI, 00802, U.S. Virgin Islands",00802,10,19.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,Christiansted VI,"4500 Queen Mary Hwy, Christiansted, St Croix 00820, USVI",00820,10.5,22,,,,
N-400,,Application for Naturalization,Christiansted VI,"4500 Queen Mary Hwy, Christiansted, St Croix 00820, USVI",00820,10,19.5,,,,
I-485,,Application to Register Permanent Residence or Adjust Status,San Juan PR,"273 Ponce De Leon Ave, Plaza 273, 12th Fl, Ste 1202, 00917, Puerto Rico",00917,10.5,22,,,,
I-129CW,CW-1 - CNMI-Only Nonimmigrant Transitional Worker,Petition for a CNMI-Only Nonimmigrant Transitional Worker,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,1,3,CA,48,"Rouda, Harley",D
I-129F,K-1/K-2 - Not yet married - fiancé(e) and/or dependent child,Petition for an alien Fiancé€,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,5.5,7.5,CA,48,"Rouda, Harley",D
I-129F,K-3/K-4 - Already married - spouse and/or dependent child,Petition for an alien Fiancé€,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,5.5,7.5,CA,48,"Rouda, Harley",D
I-129F,K-3/K-4 - Already married - spouse and/or dependent child,Petition for an alien Fiancé€,Nebraska,"850 S St, Lincoln, NE 68508",68508,7.5,10,NE,1,"Fortenberry, Jeff",R
I-129F,K-3/K-4 - Already married - spouse and/or dependent child,Petition for an alien Fiancé€,Potomac,"2200 Crystal Dr, Arlington, VA 22202",22202,10.5,14,VA,8,"Beyer, Don",D
I-129F,K-3/K-4 - Already married - spouse and/or dependent child,Petition for an alien Fiancé€,Texas,"4141 N St Augustine Dr, Dallas, TX 75227",75227,7,9,TX,30,"Johnson, Eddie Bernice",D
N-400,,Application for Naturalization,San Juan PR,"273 Ponce De Leon Ave, Plaza 273, 12th Fl, Ste 1202, 00917, Puerto Rico",00917,10,19.5,,,,
I-130,Permanent resident filing for a spouse or child under 21,Petition for Alien Relative,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,19,25,CA,48,"Rouda, Harley",D
I-130,U.S. citizen filing for an unmarried son or daughter over 21,Petition for Alien Relative,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,32.5,42,CA,48,"Rouda, Harley",D
I-130,Permanent resident filing for an unmarried son or daughter over 21,Petition for Alien Relative,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,42,54.5,CA,48,"Rouda, Harley",D
I-130,U.S. citizen filing for a married son or daughter over 21,Petition for Alien Relative,California,"24000 Avila Rd, Laguna Niguel, CA 92677",92677,79.5,103.5,CA,48,"Rouda, Harley",D
